PID;USER;PRI;S;CPU;MEM;TIME;Command
1;root;0;sleeping;0.0;0.07053103760322803;1708444097.14;/sbin/init
2;root;0;sleeping;0.0;0.0;1708444097.14;
3;root;-20;idle;0.0;0.0;1708444097.24;
4;root;-20;idle;0.0;0.0;1708444097.24;
5;root;-20;idle;0.0;0.0;1708444097.24;
6;root;-20;idle;0.0;0.0;1708444097.24;
9;root;0;idle;0.0;0.0;1708444097.24;
11;root;-20;idle;0.0;0.0;1708444097.24;
12;root;0;idle;0.0;0.0;1708444097.24;
13;root;0;idle;0.0;0.0;1708444097.24;
14;root;0;idle;0.0;0.0;1708444097.24;
15;root;0;sleeping;0.0;0.0;1708444097.24;
16;root;0;idle;0.0;0.0;1708444097.24;
17;root;0;sleeping;0.0;0.0;1708444097.24;
18;root;0;sleeping;0.0;0.0;1708444097.25;
19;root;0;sleeping;0.0;0.0;1708444097.25;
20;root;0;sleeping;0.0;0.0;1708444097.25;
21;root;0;sleeping;0.0;0.0;1708444097.25;
22;root;0;sleeping;0.0;0.0;1708444097.25;
23;root;0;sleeping;0.0;0.0;1708444097.25;
26;root;0;sleeping;0.0;0.0;1708444097.25;
27;root;0;sleeping;0.0;0.0;1708444097.25;
28;root;0;sleeping;0.0;0.0;1708444097.25;
29;root;0;sleeping;0.0;0.0;1708444097.25;
32;root;0;sleeping;0.0;0.0;1708444097.25;
33;root;0;sleeping;0.0;0.0;1708444097.25;
34;root;0;sleeping;0.0;0.0;1708444097.25;
35;root;0;sleeping;0.0;0.0;1708444097.25;
38;root;0;sleeping;0.0;0.0;1708444097.25;
39;root;0;sleeping;0.0;0.0;1708444097.25;
40;root;0;sleeping;0.0;0.0;1708444097.25;
41;root;0;sleeping;0.0;0.0;1708444097.25;
44;root;0;sleeping;0.0;0.0;1708444097.25;
45;root;0;sleeping;0.0;0.0;1708444097.25;
46;root;0;sleeping;0.0;0.0;1708444097.25;
47;root;0;sleeping;0.0;0.0;1708444097.25;
50;root;0;sleeping;0.0;0.0;1708444097.26;
51;root;0;sleeping;0.0;0.0;1708444097.26;
52;root;0;sleeping;0.0;0.0;1708444097.26;
53;root;0;sleeping;0.0;0.0;1708444097.26;
56;root;0;sleeping;0.0;0.0;1708444097.26;
57;root;0;sleeping;0.0;0.0;1708444097.26;
58;root;0;sleeping;0.0;0.0;1708444097.26;
59;root;0;sleeping;0.0;0.0;1708444097.26;
61;root;-20;idle;0.0;0.0;1708444097.26;
62;root;0;sleeping;0.0;0.0;1708444097.26;
63;root;0;sleeping;0.0;0.0;1708444097.26;
64;root;0;sleeping;0.0;0.0;1708444097.26;
65;root;0;sleeping;0.0;0.0;1708444097.26;
68;root;0;sleeping;0.0;0.0;1708444097.26;
69;root;0;sleeping;0.0;0.0;1708444097.26;
70;root;0;sleeping;0.0;0.0;1708444097.26;
71;root;0;sleeping;0.0;0.0;1708444097.26;
74;root;0;sleeping;0.0;0.0;1708444097.26;
75;root;0;sleeping;0.0;0.0;1708444097.26;
76;root;0;sleeping;0.0;0.0;1708444097.26;
77;root;0;sleeping;0.0;0.0;1708444097.26;
80;root;0;sleeping;0.0;0.0;1708444097.26;
81;root;0;sleeping;0.0;0.0;1708444097.26;
82;root;0;sleeping;0.0;0.0;1708444097.26;
83;root;0;sleeping;0.0;0.0;1708444097.26;
86;root;0;sleeping;0.0;0.0;1708444097.26;
87;root;-20;idle;0.0;0.0;1708444097.26;
89;root;0;sleeping;0.0;0.0;1708444097.26;
90;root;0;sleeping;0.0;0.0;1708444097.26;
91;root;0;sleeping;0.0;0.0;1708444097.26;
